0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
ALLE,1.0347,0.9473,0.9818,0.9847,1.1919,1.1782,1.4985,1.0436,1.3991,1.2588,1.2726,1.0299,1.1231,1.2944,1.1921,1.1731,1.1145,1.1003,1.1429,1.0595,1.1313,1.0371,1.0788,1.1564
AME,1.2738,1.1885,1.1975,1.2333,1.3078,1.2629,1.3006,1.2446,1.3884,1.1205,1.4198,1.2642,1.2086,1.114,1.3229,1.3086,1.2641,1.2592,1.235,1.2196,1.2489,1.1143,1.239,1.2609
AOS,0.6222,0.5829,0.5835,0.6817,0.8282,0.9888,0.9228,0.6854,1.5506,1.6061,2.1642,0.6043,2.0073,1.6904,1.7078,1.7045,0.6947,1.3561,1.7128,1.3056,1.3017,1.1928,1.551,1.7019
BA,1.9292,1.4253,1.4016,1.4795,1.3901,1.2715,1.8777,1.2917,0.8086,1.1487,0.851,1.934,1.3675,1.0983,1.065,1.0571,1.4445,1.1802,1.0679,1.3023,1.1051,1.1158,1.1275,1.0997
CAT,0.4782,0.4189,0.4637,0.5155,0.6253,0.7454,1.0573,0.5526,1.5346,1.2577,2.0797,0.4845,1.6463,1.2784,1.4702,1.4517,0.5212,1.1765,1.3414,1.1922,1.1703,1.1922,1.2619,1.3676
CHRW,0.639,0.6824,0.5871,0.6446,0.5373,0.4001,0.2106,0.6372,0.2976,0.4875,0.3799,0.6266,0.3659,0.4844,0.625,0.6216,0.492,0.8754,0.6729,0.8486,0.7657,0.7537,0.6993,0.7357
CMI,0.8838,1.013,1.0462,1.087,1.1722,1.2072,1.0595,1.1541,1.2935,1.4304,1.7406,0.8649,1.5065,1.445,1.3599,1.3374,1.1058,1.0563,1.243,1.059,1.0696,1.0949,1.1956,1.269
CPRT,1.1517,1.363,1.4026,1.4628,1.4011,1.1867,1.2797,1.4681,1.0064,0.6509,0.3514,1.1691,0.3363,0.6384,0.7431,0.7325,1.4385,1.0344,0.7743,0.9314,1.0957,0.6918,0.8115,0.7493
CSX,1.0814,1.059,1.0819,1.1399,1.1551,1.0879,1.0522,1.1517,0.8327,1.116,0.9441,1.067,0.9281,1.14,1.0929,1.0845,1.1786,1.3301,1.0906,1.2833,1.3298,1.2626,1.2669,1.1573
CTAS,1.7771,1.8946,1.8796,1.9491,1.8505,1.6513,1.4809,1.9475,0.4377,0.8318,0.3303,1.744,0.5414,0.9196,1.0243,1.033,1.9346,1.3466,1.0379,1.3374,1.3557,1.2226,1.11,1.0652
DAL,1.5491,1.2445,1.2933,1.39,1.2678,1.2565,2.1884,1.1124,1.75,1.3204,1.5905,1.5362,1.0656,1.3448,1.2581,1.2687,1.2251,1.1306,1.2686,1.07,1.2209,1.0991,1.2824,1.2988
DE,0.8174,0.717,0.7277,0.7927,0.7633,0.8889,1.1344,0.6897,1.3704,1.2302,2.0338,0.8068,1.8042,1.3431,1.3706,1.3471,0.6065,0.909,1.2576,0.9287,0.8758,0.9781,1.0543,1.2511
DOV,1.0207,1.0666,1.0989,1.1268,1.1865,1.2078,1.3838,1.1348,1.3644,1.808,1.4093,1.0176,1.7929,1.8065,1.6646,1.6553,1.1267,1.8366,1.6326,1.8215,1.7759,1.8696,1.7207,1.6905
